Date,All Agents,Active Agents,All Accounts,Active Accounts,Deposits as of date (Rs. in millions ),Number of transactions during the quarter (thousands),Value of transactions during the quarter(Rs. in millions),Average Size of transaction (in Rupees),Average number of transaction per day
12/1/2011,"22,512",0,"929,184",0,,,,,
3/1/2012,"26,792",0,"1,059,519",0,,,,,
6/1/2012,"29,525",0,"1,447,381",0,,,,,
9/1/2012,"30,540",0,"1,761,321",0,,,,,
12/1/2012,"41,567",0,"2,112,052",0,,,,,
3/1/2013,"64,716",0,"2,398,888",0,,,,,
6/1/2013,"93,862",0,"2,642,941",0,,,,,
9/1/2013,"110,214","84,727","2,966,306",0,,,,,
12/1/2013,"125,027","100,813","3,475,458",0,,,,,
3/1/2014,"148,324","124,560","3,831,868",0,,,,,
6/1/2014,"168,615","140,747","4,238,178",0,,,,,
9/1/2014,"186,618","151,448","4,713,145",0,,,,,
12/1/2014,"204,073","159,500","5,414,655",0,,,,,
3/1/2015,341403,240220,13673442,0,10885,115927,509126,4392,1288083
6/1/2015,346716,236874,14576387,6693559,13734,118772,543609,4577,1319684
9/1/2015,351912,210536,16905696,7716320,8457,110041,519820,4724,0
12/1/2015,301823,232637,15322171,0,8827,101636,486031,4782,1129288
3/1/2016,341403,240220,13673442,0,10885,115927,509126,4392,1288083
6/1/2016,346716,236874,14576387,6693559,13734,118772,543609,4577,1319684
9/1/2016,351912,210536,16905696,7716320,8457,110041,519820,4724,0
12/1/2016,359806,210581,19964900,9799620,11717,133741,596986,4464,1486007
3/1/2017,368738,213068,23685630,11287857,7906,140589,564448,4015,1562096
6/1/2017,402710,185297,27312964,13158310,15423,167173,746569,4466,1857476
9/1/2017,420107,181377,0,15526367,11280,164704,726451,4411,1830042
12/1/2017,405673,192741,37260215,19259427,21139,175149,766540,4377,1946100
3/1/2018,403100,0,38507887,19950860,17051,192890,776491,4026,2143226
6/1/2018,405571,0,39246468,21815840,15345,215896,914089,4234,2398849
9/1/2018,413177,0,43102952,22617247,16580,225753,972714,4309,2508365
12/1/2018,425199,0,47164779,0,23678,266980,1005518,3766,2966980
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
