Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
12/31/2016,BALUCHISTAN,Awaran,-,-,-,-,10668,1361741,-,-,-
12/31/2016,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Chagai,-,-,-,-,22,1023,-,-,-
12/31/2016,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Gwadar,4,-,385,9005765,22431,167284425,-,-,-
12/31/2016,BALUCHISTAN,Jafarabad,-,2,498,7646720,2204,1927840,-,-,-
12/31/2016,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Kalat,-,-,-,-,157,53965,-,-,-
12/31/2016,BALUCHISTAN,Kech (Turbat),-,-,-,-,49149,10292276,563,19100000,-
12/31/2016,BALUCHISTAN,Kharan,-,-,-,-,16,561,-,-,-
12/31/2016,BALUCHISTAN,Khuzdar,-,-,-,-,231,54913,-,-,-
12/31/2016,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Lasbela,5,-,2188,40978674,32983,534256,7977,215012778,-
12/31/2016,BALUCHISTAN,Loralai,-,-,-,-,114,4322,-,-,-
12/31/2016,BALUCHISTAN,Mastung,-,-,-,-,196,43214,-,-,-
12/31/2016,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Nasirabad,1,-,792,37287743,4845,36584263,1047,46212743,-
12/31/2016,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Panjgur,-,-,-,-,851,33465,-,-,-
12/31/2016,BALUCHISTAN,Pishin,-,-,-,-,851,33465,-,-,-
12/31/2016,BALUCHISTAN,Qila Abdullah,-,-,-,-,26,1781,-,-,-
12/31/2016,BALUCHISTAN,Qila Saifullah,-,-,-,-,553,80643,-,-,-
12/31/2016,BALUCHISTAN,Quetta,7,-,1714,64311538,349898,293885982,1723,59389833,-
12/31/2016,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Sibi,-,-,-,-,819,54112,-,-,-
12/31/2016,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
12/31/2016,BALUCHISTAN,Zhob,-,-,-,-,485,7056,-,-,-
12/31/2016,BALUCHISTAN,Ziarat,-,-,-,-,4,962,-,-,-
12/31/2016,BALUCHISTAN,Total,17,2,5577,159230440,497248,515487510,11310,339715354,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Abbottabad,12,-,12970,414963441,31334,618154256,11690,359851204,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Bannu,5,-,3613,59514831,1984,208791,4541,59389113,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,549,10252820,705,89621,549,10252820,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,-,1220,50714110,2050,41465736,1230,51064110,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,3375,107645711,28882,153558814,3164,91465609,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Chitral,7,-,4083,201191818,32872,1029845959,4778,218566818,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,4,-,5903,254411445,16447,202768170,6602,263045441,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,1211,70436,-,-,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Haripur,12,-,12192,426504821,31480,168778060,12449,321707419,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,419,12080,-,-,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Kohat,3,-,3302,117954327,10795,159227309,3307,118129327,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,-,-,-,343,24821625,-,-,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,1,-,1158,12847650,673,7880,1158,12847650,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,1094,34600,-,-,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Malakand,3,-,1981,64230295,42118,85512136,2010,65100295,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Mansehra,12,-,12992,311875433,10857,184475144,13323,257208926,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Mardan,10,-,8878,301333599,81174,189526819,10258,253495679,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,2405,98526869,8751,243052426,2496,101396869,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Nowshera,9,-,8115,256515421,28244,282117419,9326,242935725,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Peshawar,11,-,5684,196067310,1176537,1742455487,5719,191854884,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,15,11374,-,-,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Swabi,6,-,6386,212210239,53228,131074906,4388,206214631,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Swat,3,-,2262,29638318,12945,851805,2262,29638318,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Tank,1,-,171,5008500,1107,40540,171,5008500,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,1450,50750,-,-,-
12/31/2016,KHYBER-PAKHTUNKHWA (KP),Total,107,-,97239,3131406959,1576715,5258212144,99421,2859173338,-
12/31/2016,PUNJAB,Attock,63,-,68145,1413143971,106728,341992382,66801,1600434956,-
12/31/2016,PUNJAB,Bahawalpur,57,-,149318,5741294639,480661,3985585199,207210,5877004036,-
12/31/2016,PUNJAB,Bhakkar,49,-,93656,3454269957,325911,648910665,95317,3687192064,-
12/31/2016,PUNJAB,Bhawalnagar,57,-,136128,5363618439,423569,2205887201,161975,4696131390,-
12/31/2016,PUNJAB,Chakwal,64,-,54875,1211923070,93743,240330072,32006,700467612,-
12/31/2016,PUNJAB,D.G. Khan,31,1,55807,1845536293,259311,729231230,60145,2169711427,-
12/31/2016,PUNJAB,Faisalabad,147,-,208667,5112793656,198479,1587875349,367098,7117891006,-
12/31/2016,PUNJAB,Gujranwala,155,2,171981,4156259401,159966,991270701,275450,6670953502,-
12/31/2016,PUNJAB,Gujrat,54,-,74246,1926986948,64900,963418346,99672,2410654671,-
12/31/2016,PUNJAB,Hafizabad,32,-,43435,1310845932,43577,230842751,79609,2675891971,-
12/31/2016,PUNJAB,Jhang,59,1,95423,2915625196,107249,772357244,123329,2796508997,-
12/31/2016,PUNJAB,Jhelum,23,-,59071,1065587632,65224,228841569,27050,742074994,-
12/31/2016,PUNJAB,Kasur,75,-,117724,3335649176,110438,804678715,205414,4391743009,-
12/31/2016,PUNJAB,Khanewal,35,-,60552,2265078688,137639,545654377,119264,3036403501,-
12/31/2016,PUNJAB,Khushab,47,-,59681,1384365662,167489,375316032,88834,2633516765,-
12/31/2016,PUNJAB,Lahore,221,1,247264,6520113653,1618106,13564974545,441206,8584493497,-
12/31/2016,PUNJAB,Leyyah,58,1,110825,3974630089,144659,810001589,123529,3935524838,-
12/31/2016,PUNJAB,Lodhran,33,-,91435,4422588397,164259,1038652197,110785,3693881725,-
12/31/2016,PUNJAB,Mandi Bahauddin,44,-,51422,1332149164,33494,320289085,53705,1395210572,-
12/31/2016,PUNJAB,Mianwali,29,1,45917,896922139,137375,159449443,68382,2073954227,-
12/31/2016,PUNJAB,Multan,100,1,158506,5108628025,242143,2397611821,228553,5118146076,-
12/31/2016,PUNJAB,Muzaffargarh,45,-,103944,3460172788,139742,825811001,140821,3670752477,-
12/31/2016,PUNJAB,Nankana Sahib,40,-,52353,1177589504,12619,75407697,63233,810175517,-
12/31/2016,PUNJAB,Narowal,44,-,43954,1053156812,47775,315058043,47630,1191948380,-
12/31/2016,PUNJAB,Okara,64,-,95521,3959471041,154226,1026722161,120897,3232732850,-
12/31/2016,PUNJAB,Pakpattan,33,-,52541,2142648870,90583,507322856,78463,2233530775,-
12/31/2016,PUNJAB,Rahimyar Khan,68,-,185378,7909806958,343752,2203709053,287823,8970100516,-
12/31/2016,PUNJAB,Rajanpur,31,2,69146,2089522636,204093,799743102,83707,2703568450,-
12/31/2016,PUNJAB,Rawalpindi,133,2,118013,2724818233,390806,7504673758,98440,1759554715,-
12/31/2016,PUNJAB,Sahiwal,49,-,78085,2819774438,148968,1026868827,116557,3264246709,-
12/31/2016,PUNJAB,Sargodha,110,-,137045,3221105704,123667,710503334,234641,6362573989,-
12/31/2016,PUNJAB,Sheikhupura,61,1,94500,2521377034,57149,674250214,125388,2450483029,-
12/31/2016,PUNJAB,Sialkot,87,-,100219,2797358605,98908,954623003,134323,3126640203,-
12/31/2016,PUNJAB,Toba Tek Singh,33,1,60874,1963730979,92969,617332363,98660,2564534828,-
12/31/2016,PUNJAB,Vihari,35,-,78122,3011484075,117342,943809396,105375,3057201146,-
12/31/2016,PUNJAB,Chiniot,18,-,26129,531447509,16950,73525340,22164,527638609,-
12/31/2016,PUNJAB,Total,2284,14,3449902,1.06141E+11,7124469,51202530662,4793456,1.21933E+11,-
12/31/2016,SINDH,Badin,30,1,40916,825267192,212669,157320356,48482,1225735668,-
12/31/2016,SINDH,Dadu,21,1,48606,971210813,22181,255564972,20344,522805746,-
12/31/2016,SINDH,Ghotki,16,2,34479,1193248098,57389,443603727,21754,911033675,-
12/31/2016,SINDH,Hyderabad,52,5,61394,1833789289,99193,997888177,63417,2002791751,-
12/31/2016,SINDH,Jacobabad,5,-,8362,167167519,13070,47180657,5135,74974296,-
12/31/2016,SINDH,Jamshoro,14,-,10369,131007875,1502,497168,2761,552200,-
12/31/2016,SINDH,Karachi,159,-,170867,5403803642,9468243,40460864259,271244,6857905307,-
12/31/2016,SINDH,Khairpur,30,2,47128,1579463195,70858,826040007,41507,1329567194,-
