Province,Date,Male,Female
Azad Kashmir,3/1/2017,412862,115939
Azad Kashmir,6/1/2017,412862,115939
Azad Kashmir,9/1/2017,442259,121316
Azad Kashmir,12/1/2017,412140,92829
Azad Kashmir,6/1/2018,207629,53397
Azad Kashmir,9/1/2018,226474,60885
Azad Kashmir,12/1/2018,249,67352
Balochistan,3/1/2017,81,19
Balochistan,6/1/2017,648750,133817
Balochistan,9/1/2017,928310,145708
Balochistan,12/1/2017,948419,112372
Balochistan,6/1/2018,796627,131535
Balochistan,9/1/2018,875364,138145
Balochistan,12/1/2018,951961,149040
Gilgit Baltistan,3/1/2017,23944,8116
Gilgit Baltistan,6/1/2017,23944,8116
Gilgit Baltistan,9/1/2017,40684,9404
Gilgit Baltistan,12/1/2017,38752,3892
Gilgit Baltistan,6/1/2018,28667,3999
Gilgit Baltistan,9/1/2018,33892,10425
Gilgit Baltistan,12/1/2018,48162,4946
Khyber Pakhtunkhwa,3/1/2017,73,27
Khyber Pakhtunkhwa,6/1/2017,3292973,820321
Khyber Pakhtunkhwa,9/1/2017,3764296,878262
Khyber Pakhtunkhwa,12/1/2017,4369978,624965
Khyber Pakhtunkhwa,6/1/2018,3413757,829423
Khyber Pakhtunkhwa,9/1/2018,3665483,742608
Khyber Pakhtunkhwa,12/1/2018,3915354,778398
Punjab (Including ISB),3/1/2017,70.1,29.9
Punjab (Including ISB),6/1/2017,13868710,3477683
Punjab (Including ISB),9/1/2017,16298054,4818816
Punjab (Including ISB),12/1/2017,19040112,5285089
Punjab (Including ISB),6/1/2018,20278752,5224858
Punjab (Including ISB),9/1/2018,22453217,5904020
Punjab (Including ISB),12/1/2018,24742708,6247506
Sindh,3/1/2017,73.3,26.7
Sindh,6/1/2017,3327536,1182313
Sindh,9/1/2017,4203328,1420299
Sindh,12/1/2017,5145824,1185843
Sindh,6/1/2018,6198485,2079339
Sindh,9/1/2018,6803468,2188971
Sindh,12/1/2018,7629154,2381134
