Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR)
6/30/2006,BALUCHISTAN,Awaran,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Barkhan,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Bolan,1,-,202,-,202,129774
6/30/2006,BALUCHISTAN,Chagai,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Dera Bugti,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Gwadar,4,-,511,-,6186,1220000
6/30/2006,BALUCHISTAN,Jafarabad,4,-,2287,-,20204,6221561
6/30/2006,BALUCHISTAN,Jhal Magsi,1,-,581,-,642,376758
6/30/2006,BALUCHISTAN,Kalat,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Kech (Turbat),3,-,1022,-,27925,6420000
6/30/2006,BALUCHISTAN,Kharan,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Khuzdar,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Kohlu,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Lasbela,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Loralai,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Mastung,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Musakhel,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Nasirabad,1,-,1329,-,4851,898015
6/30/2006,BALUCHISTAN,Nushki,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Panjgur,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Pishin,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Qila Abdullah,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Qila Saifullah,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Quetta,3,-,6026,-,8870,8052766
6/30/2006,BALUCHISTAN,Sibi,1,-,1543,-,1775,593226
6/30/2006,BALUCHISTAN,Washuk,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Zhob,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Ziarat,0,-,0,-,0,0
6/30/2006,BALUCHISTAN,Total,18,-,13501,-,70655,23912100
6/30/2006,KHYBER-PAKHTUNKHWA (KP),Abbottabad,3,-,1483,-,30289,8170000
6/30/2006,KHYBER-PAKHTUNKHWA (KP),Bannu,0,-,0,-,0,0
6/30/2006,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,5,-,201,335000
6/30/2006,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),0,-,0,-,0,0
6/30/2006,KHYBER-PAKHTUNKHWA (KP),Charsadda,9,-,2979,-,3568,520000
6/30/2006,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,4772,-,4819,118254000
