Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
6/30/2011,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
6/30/2011,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,31881
6/30/2011,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
6/30/2011,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
6/30/2011,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
6/30/2011,BALUCHISTAN,Gwadar,3,-,187,2574217,16571,2577312,60,1350000,55537
6/30/2011,BALUCHISTAN,Jafarabad,4,-,4829,58674196,-,-,5163,65609973,121911
6/30/2011,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
6/30/2011,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
6/30/2011,BALUCHISTAN,Kech (Turbat),1,-,-,-,38439,8726534,-,-,92271
6/30/2011,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
6/30/2011,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
6/30/2011,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
6/30/2011,BALUCHISTAN,Lasbela,4,-,1588,14483522,-,-,2001,20010000,84637
6/30/2011,BALUCHISTAN,Loralai,-,-,-,-,-,-,-,-,76879
6/30/2011,BALUCHISTAN,Mastung,-,-,-,-,-,-,-,-,41317
6/30/2011,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,27545
6/30/2011,BALUCHISTAN,Nasirabad,2,-,2681,35750660,-,-,2701,36340387,75783
6/30/2011,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
6/30/2011,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
6/30/2011,BALUCHISTAN,Pishin,-,-,-,-,-,-,-,-,100179
6/30/2011,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
6/30/2011,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
6/30/2011,BALUCHISTAN,Quetta,9,-,11969,75100650,5360,167997987,5845,51734719,174437
6/30/2011,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
6/30/2011,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
6/30/2011,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
6/30/2011,BALUCHISTAN,Zhob,-,-,-,-,-,-,-,-,53848
6/30/2011,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
6/30/2011,BALUCHISTAN,Total,23,-,21254,186583245,60370,179301833,15770,175045079,1656762
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Abbottabad,5,-,6557,73479974,13793,18993787,5921,47792043,180672
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,-,-,167380
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,-,-,-,-,-,-,58257
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Charsadda,4,-,4890,34661337,12926,1264925,4464,38968598,271736
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Chitral,5,-,317,5939967,21813,484853344,317,5939967,84846
6/30/2011,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,3251,38611166,4238,20428590,2487,34135961,221328
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,6347,62897340,35206,25620745,5243,49441894,103830
6/30/2011,KHYBER-PAKHTUNKHWA (KP),Karak,-,-,-,-,-,-,-,-,102174
