Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Potential Microfinance Market
3/31/2007,BALUCHISTAN,Awaran,-,-,-,-,-,-,26054
3/31/2007,BALUCHISTAN,Barkhan,1,-,1078,7493006,-,-,31881
3/31/2007,BALUCHISTAN,Bolan,-,-,-,-,-,-,66423
3/31/2007,BALUCHISTAN,Chagai,-,-,-,-,-,-,54814
3/31/2007,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,43770
3/31/2007,BALUCHISTAN,Gwadar,5,-,1327,7910551,3788,1489675,55537
3/31/2007,BALUCHISTAN,Jafarabad,5,-,3280,395304052,7832,827741,121911
3/31/2007,BALUCHISTAN,Jhal Magsi,1,-,755,9870000,639,409031,29887
3/31/2007,BALUCHISTAN,Kalat,-,-,-,-,-,-,53884
3/31/2007,BALUCHISTAN,Kech (Turbat),3,-,912,4686391,28852,6376088,92271
3/31/2007,BALUCHISTAN,Kharan,-,-,-,-,-,-,47948
3/31/2007,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,104104
3/31/2007,BALUCHISTAN,Kohlu,-,-,-,-,-,-,26910
3/31/2007,BALUCHISTAN,Lasbela,-,-,-,-,-,-,84637
3/31/2007,BALUCHISTAN,Loralai,2,-,1446,8065425,-,-,76879
3/31/2007,BALUCHISTAN,Mastung,1,-,312,2061658,-,-,41317
3/31/2007,BALUCHISTAN,Musakhel,-,-,-,-,-,-,27545
3/31/2007,BALUCHISTAN,Nasirabad,2,-,1388,84293156,1604,226430,75783
3/31/2007,BALUCHISTAN,Nushki,-,-,-,-,-,-,-
3/31/2007,BALUCHISTAN,Panjgur,-,-,-,-,-,-,51074
3/31/2007,BALUCHISTAN,Pishin,1,-,1266,9373243,-,-,100179
3/31/2007,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,115112
3/31/2007,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,44345
3/31/2007,BALUCHISTAN,Quetta,10,-,8976,158931317,5055,8547538,174437
3/31/2007,BALUCHISTAN,Sherani,-,-,-,-,-,-,-
3/31/2007,BALUCHISTAN,Sibi,2,-,3857,39481922,1634,610046,48944
3/31/2007,BALUCHISTAN,Washuk,-,-,-,-,-,-,585705
3/31/2007,BALUCHISTAN,Zhob,1,-,766,4690241,-,-,53848
3/31/2007,BALUCHISTAN,Ziarat,2,-,494,3683801,-,-,7268
3/31/2007,BALUCHISTAN,Total,36,-,25857,735844763,49404,18486549,2242467
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Abbottabad,4,-,4532,42683298,7623,3157632,180672
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Bannu,-,-,-,-,-,-,167380
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Batgram,2,-,491,1404912,1664,650000,58257
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,133171
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Charsadda,10,-,4628,65316447,10794,35721240,271736
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Chitral,6,-,6170,127539343,5742,131706822,84846
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Dera Ismail,2,-,5752,80686417,-,-,221328
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Hangu,2,-,534,3207404,1392,697392,64648
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Haripur,4,-,4039,31959844,14876,5985568,103830
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,592,4315095,-,-,102174
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Kohat,6,-,7716,48961698,1744,873744,114908
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Kohistan,-,-,-,-,-,-,73374
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,107505
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,176660
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Malakand,20,-,7695,90407169,14182,1275341,106429
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Mansehra,4,-,2608,17218662,6935,3352000,271288
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Mardan,37,-,28278,266550283,16575,3403807,354988
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,1398,11303721,-,-,-
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Nowshera,2,-,3921,25503524,1417,709917,201208
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Peshawar,8,-,7041,45502007,1399,700899,451548
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Shangla,1,-,864,1744000,-,-,116366
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Swabi,14,-,7578,83653745,8306,1310874,230073
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Swat,10,-,5284,77900092,4230,658087,286555
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Tank,1,-,21,624235,-,-,62446
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,-,-,142427
3/31/2007,KHYBER-PAKHTUNKHWA (KP),Total,135,-,99142,1026481896,96879,190203323,4083817
3/31/2007,PUNJAB,Attock,38,-,13194,103310780,41471,83290256,262870
3/31/2007,PUNJAB,Bahawalpur,37,-,42858,526208140,47203,99911982,461777
3/31/2007,PUNJAB,Bhakkar,24,-,18362,160326786,25008,24912515,252453
3/31/2007,PUNJAB,Bhawalnagar,17,-,31174,392336783,28767,57149420,427843
3/31/2007,PUNJAB,Chakwal,27,-,8345,66925695,27351,64434444,219565
3/31/2007,PUNJAB,D.G. Khan,8,-,17591,216093229,22373,28558956,419252
3/31/2007,PUNJAB,Faisalabad,64,-,54566,408153793,57804,5298592,1096924
3/31/2007,PUNJAB,Gujranwala,25,-,40255,379085860,47508,21033778,735741
3/31/2007,PUNJAB,Gujrat,4,-,2963,23804141,9679,2049011,446630
3/31/2007,PUNJAB,Hafizabad,3,-,3481,30930049,6535,945112,231170
3/31/2007,PUNJAB,Jhang,3,-,4742,40780087,12534,2548054,626546
3/31/2007,PUNJAB,Jhelum,19,-,7292,54456947,13989,16097311,170498
3/31/2007,PUNJAB,Kasur,23,-,35093,317418056,21287,1353690,586427
3/31/2007,PUNJAB,Khanewal,5,-,6820,41708539,11549,6299630,432948
3/31/2007,PUNJAB,Khushab,24,-,14407,113831701,36913,47427249,235163
3/31/2007,PUNJAB,Lahore,95,-,140329,1342885119,104153,22240433,872760
3/31/2007,PUNJAB,Leyyah,4,-,12800,96348578,11607,1914918,263251
3/31/2007,PUNJAB,Lodhran,12,-,17929,224459755,24711,43496359,261693
3/31/2007,PUNJAB,Mandi Bahauddin,4,-,4121,36415035,10001,2496859,44983
3/31/2007,PUNJAB,Mianwali,21,-,14062,113904401,6762,869370,252413
3/31/2007,PUNJAB,Multan,30,-,22256,195090455,27845,24310281,689339
3/31/2007,PUNJAB,Muzaffargarh,3,-,9200,72454241,13505,517340,570580
3/31/2007,PUNJAB,Nankana Sahib,7,-,7047,40506482,-,-,-
3/31/2007,PUNJAB,Narowal,8,-,6505,62399611,23734,2126742,268902
3/31/2007,PUNJAB,Okara,13,-,20183,146201452,27709,4696997,509842
3/31/2007,PUNJAB,Pakpattan,6,-,6268,57311204,10401,4039876,281988
3/31/2007,PUNJAB,Rahimyar Khan,19,-,20014,248250308,23508,47960845,585705
3/31/2007,PUNJAB,Rajanpur,7,-,16638,194888986,15663,37278077,260436
3/31/2007,PUNJAB,Rawalpindi,51,-,32660,251654602,38010,51910983,327457
3/31/2007,PUNJAB,Sahiwal,10,-,15825,122745959,29560,4813202,395468
3/31/2007,PUNJAB,Sargodha,12,-,19136,157950087,34081,2953804,671679
3/31/2007,PUNJAB,Sheikhupura,15,-,23231,197278582,12282,1731667,831522
3/31/2007,PUNJAB,Sialkot,8,-,9084,60499206,29148,8015452,501997
3/31/2007,PUNJAB,Toba Tek Singh,4,-,7131,59234538,15175,1435533,309316
3/31/2007,PUNJAB,Vihari,6,-,14389,169451748,26852,19528494,475398
3/31/2007,PUNJAB,Total,656,-,719951,6725300935,894678,743647232,14980536
3/31/2007,SINDH,Badin,28,-,6704,67937159,42982,26163411,294781
3/31/2007,SINDH,Dadu,18,-,12608,84461954,39224,20410000,447305
3/31/2007,SINDH,Ghotki,2,-,4751,49003126,-,-,248442
3/31/2007,SINDH,Hyderabad,33,-,21666,209913974,8369,33364943,517652
3/31/2007,SINDH,Jacobabad,3,-,7085,93923832,945,284155,361146
3/31/2007,SINDH,Jamshoro,-,-,-,-,-,-,-
3/31/2007,SINDH,Karachi,78,2,68298,1199927877,50858,894997896,1329990
3/31/2007,SINDH,Khairpur,8,-,25639,261032076,23989,37987000,401853
3/31/2007,SINDH,Larkana,4,-,6102,79349498,415,52290,534891
3/31/2007,SINDH,Matyari,6,-,3120,17422608,6013,2827014,-
3/31/2007,SINDH,Mirpur Khas,15,-,9042,73731030,31995,5966850,210494
3/31/2007,SINDH,Nawabshah,6,1,14395,141065514,2727,5820841,225430
3/31/2007,SINDH,Naushahro Feroze,2,-,6646,56883603,23,540000,266462
3/31/2007,SINDH,Sanghar,9,1,17149,126651707,2510,587000,354133
3/31/2007,SINDH,Sehwan Sharif,1,-,2299,18107709,-,-,-
3/31/2007,SINDH,Shehdad Kot,4,-,201,3000000,2988,99400,-
3/31/2007,SINDH,Shikarpur,2,-,621,25795107,234,11250,237633
3/31/2007,SINDH,Sukkur,4,-,4582,39291803,-,-,213080
3/31/2007,SINDH,Tando Allahyar,5,-,5976,47443089,5585,2991374,-
3/31/2007,SINDH,Tando Muhammad Khan,5,-,1039,9594747,4294,1898841,-
3/31/2007,SINDH,Thatta,14,-,4608,30821484,12631,11124424,283491
3/31/2007,SINDH,Tharparkar,24,-,16204,115771619,110554,69022000,245046
3/31/2007,SINDH,Umar Kot,14,-,9077,57707218,32183,22446000,185966
3/31/2007,SINDH,Total,282,4,247812,2808836734,375829,1136594689,6357795
3/31/2007,AZAD JAMMU AND KASHMIR (AJK),Bhimber,-,-,-,-,-,-,-
3/31/2007,AZAD JAMMU AND KASHMIR (AJK),Kotli,8,-,3060,23003402,11684,1437755,-
