Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
3/31/2017,BALUCHISTAN,Awaran,-,-,-,-,10950,1361741,-,-,-
3/31/2017,BALUCHISTAN,Barkhan,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Chagai,-,-,-,-,22,1023,-,-,-
3/31/2017,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Gwadar,5,-,428,8162051,22723,228449676,623,21260000,-
3/31/2017,BALUCHISTAN,Jafarabad,2,-,450,7305067,2200,1927889,-,-,-
3/31/2017,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Kalat,-,-,-,-,157,53965,-,-,-
3/31/2017,BALUCHISTAN,Kech (Turbat),-,-,-,-,49149,10292276,-,-,-
3/31/2017,BALUCHISTAN,Kharan,-,-,-,-,16,561,-,-,-
3/31/2017,BALUCHISTAN,Khuzdar,-,-,-,-,231,54913,-,-,-
3/31/2017,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Lasbela,5,-,2165,40591882,36449,534256,9228,247472606,-
3/31/2017,BALUCHISTAN,Loralai,-,-,-,-,114,4322,-,-,-
3/31/2017,BALUCHISTAN,Mastung,-,-,-,-,196,43214,-,-,-
3/31/2017,BALUCHISTAN,Musakhel,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Nasirabad,1,-,566,37981444,4763,27058370,647,40816444,-
3/31/2017,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Panjgur,-,-,-,-,21690,3280710,-,-,-
3/31/2017,BALUCHISTAN,Pishin,-,-,-,-,851,33465,-,-,-
3/31/2017,BALUCHISTAN,Qila Abdullah,-,-,-,-,26,1781,-,-,-
3/31/2017,BALUCHISTAN,Qila Saifullah,-,-,-,-,553,80643,-,-,-
3/31/2017,BALUCHISTAN,Quetta,6,-,1720,71082420,356079,237307097,1729,66433925,-
3/31/2017,BALUCHISTAN,Sherani,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Sibi,-,-,-,-,819,54112,-,-,-
3/31/2017,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
3/31/2017,BALUCHISTAN,Zhob,-,-,-,-,485,7056,-,-,-
3/31/2017,BALUCHISTAN,Ziarat,-,-,-,-,4,962,-,-,-
3/31/2017,BALUCHISTAN,Total,19,-,5329,165122864,507477,510548031,12227,375982974,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Abbottabad,13,-,14076,472138192,41688,698895120,14152,426546854,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Bannu,4,-,3124,49193658,1984,208791,3123,49154340,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,720,11604811,705,89621,720,11604811,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),1,-,1324,55085314,2293,44174591,1330,55295314,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Charsadda,3,-,3442,116708143,28678,138587240,3253,104451612,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Chitral,7,-,4043,201411339,33441,1010363824,4738,218786339,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,5,-,7060,331242244,36454,254188018,8487,339804932,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,1211,70436,-,-,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Haripur,13,-,12804,466994528,33047,209261097,13053,356117154,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,587,5196400,1689,278857,-,-,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Kohat,4,-,4166,149708932,11772,180847756,3797,146701932,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,-,-,-,482,121731535,-,-,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,1,-,1165,12642650,673,7880,1165,12642650,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,1094,34600,-,-,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Malakand,3,-,2371,81811764,41933,94697808,2395,82531764,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Mansehra,12,-,13065,320752800,31672,232666398,13463,260327977,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Mardan,10,-,9194,338526733,101661,164139245,10524,293040849,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Mingora,1,-,2882,119378423,9181,257892846,3043,124348423,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Nowshera,10,-,8566,286908320,28826,254472280,15497,355862143,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Peshawar,15,-,7002,235480631,1432766,2504857201,6042,217675365,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Shangla,-,-,-,-,15,11374,-,-,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Swabi,7,-,6394,192954901,69783,242077889,4158,177534458,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Swat,4,-,2637,34162139,28000,18949009,2637,34162139,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Tank,1,-,314,8538000,1107,40540,314,8538000,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Upper Dir,-,-,-,-,1450,50750,-,-,-
3/31/2017,KHYBER-PAKHTUNKHWA (KP),Total,117,-,104936,3490439923,1941605,6428594706,111891,3275127055,-
3/31/2017,PUNJAB,Attock,73,-,73112,1533349837,131842,511381840,73095,1712949425,-
3/31/2017,PUNJAB,Bahawalpur,58,-,160415,6292877686,523732,3078293127,225600,6423810260,-
3/31/2017,PUNJAB,Bhakkar,47,-,102345,3907047030,366860,637689710,101334,4003991590,-
3/31/2017,PUNJAB,Bhawalnagar,67,-,158245,6262161150,468861,1958646863,205483,5779015129,-
3/31/2017,PUNJAB,Chakwal,83,-,61407,1338188747,115558,277961143,39693,847872001,-
3/31/2017,PUNJAB,D.G. Khan,33,-,63314,2169036523,286802,743041578,66095,2387484210,-
3/31/2017,PUNJAB,Faisalabad,149,-,224927,5580850431,261879,1736408512,386985,7744678224,-
3/31/2017,PUNJAB,Gujranwala,163,-,178041,4587744463,192243,967485218,304935,7640402924,-
3/31/2017,PUNJAB,Gujrat,58,-,82801,2261873254,85766,994402945,103826,2680518705,-
3/31/2017,PUNJAB,Hafizabad,33,-,47460,1574918706,59134,244692476,83351,2917863302,-
3/31/2017,PUNJAB,Jhang,62,-,96448,3146605342,172259,727010187,126423,2967709882,-
3/31/2017,PUNJAB,Jhelum,27,-,68653,1236235657,85965,323348576,35255,888912311,-
3/31/2017,PUNJAB,Kasur,79,-,126513,3751096247,135254,827357077,215852,4802391915,-
3/31/2017,PUNJAB,Khanewal,39,-,68867,2657909804,176810,505713427,133445,3412215432,-
3/31/2017,PUNJAB,Khushab,51,-,59575,1487542384,189243,357455250,87921,2633369483,-
3/31/2017,PUNJAB,Lahore,227,-,263564,6934099330,3219834,14449135123,465142,9615822099,-
3/31/2017,PUNJAB,Leyyah,63,-,121612,4332754937,190808,761286415,137474,4409066324,-
3/31/2017,PUNJAB,Lodhran,35,-,106574,5248171143,212477,831182054,127677,4329782922,-
3/31/2017,PUNJAB,Mandi Bahauddin,43,-,56350,1481929817,58793,377436434,66042,1619838863,-
3/31/2017,PUNJAB,Mianwali,39,-,47790,985099446,160905,216775574,72560,2155101495,-
3/31/2017,PUNJAB,Multan,104,1,168455,5535956528,274916,2280889238,233098,5405168409,-
3/31/2017,PUNJAB,Muzaffargarh,48,-,115840,4059392217,204428,713103182,165367,4371737907,-
3/31/2017,PUNJAB,Nankana Sahib,40,-,53653,1278386982,13875,68017869,76921,1122303293,-
3/31/2017,PUNJAB,Narowal,49,-,48825,1178835293,53484,291700388,51430,1331655632,-
3/31/2017,PUNJAB,Okara,69,-,105960,4359214205,206157,987792165,142535,3732686038,-
3/31/2017,PUNJAB,Pakpattan,34,-,57015,2428319668,121033,422350605,77360,2377836396,-
3/31/2017,PUNJAB,Rahimyar Khan,63,-,165735,7921405929,314871,1744510813,228825,7635968887,-
3/31/2017,PUNJAB,Rajanpur,33,-,76347,2365411821,210542,802125025,88461,2868512762,-
3/31/2017,PUNJAB,Rawalpindi,139,-,124269,2868424924,2599399,8342149436,99857,1847164108,-
3/31/2017,PUNJAB,Sahiwal,51,-,85521,3220996354,183901,920431998,126170,3647842904,-
3/31/2017,PUNJAB,Sargodha,115,-,142567,3437860502,179868,758624256,236720,6435446161,-
3/31/2017,PUNJAB,Sheikhupura,73,-,98107,2633131963,79831,623479455,127034,2595764626,-
3/31/2017,PUNJAB,Sialkot,90,-,107154,3071494421,110361,909996960,136060,3227110421,-
3/31/2017,PUNJAB,Toba Tek Singh,37,1,70649,2334046963,134777,550842536,116852,3017687924,-
3/31/2017,PUNJAB,Vihari,36,-,85669,3471066865,136964,834891132,114738,3420523823,-
3/31/2017,PUNJAB,Chiniot,18,-,26104,537553886,34235,96228876,22021,514211253,-
3/31/2017,PUNJAB,Total,2428,2,3699883,1.17471E+11,11953667,50873837466,5101637,1.32524E+11,-
3/31/2017,SINDH,Badin,35,-,44611,937843484,214243,153757701,47520,1318168413,-
3/31/2017,SINDH,Dadu,23,-,49292,1104316534,36451,256982625,20968,666799257,-
3/31/2017,SINDH,Ghotki,19,-,36867,1370131300,57894,480688841,24809,1109710132,-
3/31/2017,SINDH,Hyderabad,63,-,60209,1859282244,114780,1044780264,58813,1973374541,-
3/31/2017,SINDH,Jacobabad,5,-,9057,191564804,13558,45378096,5612,84617369,-
3/31/2017,SINDH,Jamshoro,9,-,10350,140970109,1502,497168,970,194000,-
3/31/2017,SINDH,Karachi,168,-,179889,6046098370,3177621,36689294523,263154,7377557662,-
3/31/2017,SINDH,Khairpur,43,-,49141,1723440044,70906,868518745,41185,1481239613,-
3/31/2017,SINDH,Larkana,24,-,36956,1318296089,68492,954928475,33052,1339337052,-
3/31/2017,SINDH,Matyari,18,-,33061,895400319,24482,173629901,31287,660539727,-
3/31/2017,SINDH,Mirpur Khas,30,-,45038,1227764172,62084,549695831,26936,903342943,-
3/31/2017,SINDH,Naushahro Feroze,32,-,30827,830807233,13712,170427426,10166,359350072,-
3/31/2017,SINDH,Nawabshah,29,-,41708,1169904967,47762,461560173,31611,765749026,-
3/31/2017,SINDH,Sanghar,44,1,62454,1514406804,36696,364413022,45868,618402200,-
3/31/2017,SINDH,Sehwan Sharif,-,-,-,-,763,396254,-,-,-
3/31/2017,SINDH,Shehdad Kot,15,-,17230,593630477,26008,166985584,14882,551835906,-
3/31/2017,SINDH,Shikarpur,9,-,9519,279818326,14859,133790872,5131,175466963,-
3/31/2017,SINDH,Sukkur,33,-,49884,1598812043,53885,1613274164,29537,1116171553,-
3/31/2017,SINDH,Tando Allahyar,15,-,19720,695665198,35080,230083559,16428,496820895,-
3/31/2017,SINDH,Tando Jam,2,-,2766,41462080,1359,321259,1375,271180,-
3/31/2017,SINDH,Tando Muhammad Khan,5,-,8761,453111953,13186,124921588,13313,465510148,-
3/31/2017,SINDH,Tharparkar,23,-,40041,1112426763,37259,251653000,20667,669559742,-
3/31/2017,SINDH,Thatta,31,-,27061,667093763,116241,265145182,32760,929513003,-
3/31/2017,SINDH,Umar Kot,26,-,48996,1198468811,29489,333184533,23344,685897012,-
3/31/2017,SINDH,Kashmore,2,-,790,42968827,10234,27630821,761,43091275,-
3/31/2017,SINDH,Total,703,1,914228,27013684713,4278546,45361939607,800149,23792519681,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Bagh,7,-,6579,112850864,68597,90643194,3998,116274816,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Bhimber,3,-,2315,40984374,1363,310903,-,-,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Kotli,10,-,9795,178160270,56138,6997713,23585,773280000,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Mirpur,3,-,1038,53708949,4757,427243531,1020,40689723,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Muzaffarabad,6,-,8439,279714791,414875,1318397007,8575,281526435,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Neelum,-,-,-,-,12788,1356287,-,-,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Poonch,4,-,9557,172178637,59968,34812833,10173,358613670,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Sudhnati,1,-,1578,28218987,18097,2318598,-,-,-
3/31/2017,AZAD JAMMU AND KASHMIR (AJK),Total,34,-,39301,865816872,636583,1882080067,47351,1570384644,-
3/31/2017,GILGIT-BALTISTAN (GB),Astore,2,-,1856,57683507,3504,107125339,1858,57733507,-
3/31/2017,GILGIT-BALTISTAN (GB),Diamer,2,-,154,1746800,105,214413255,154,1746800,-
3/31/2017,GILGIT-BALTISTAN (GB),Ghanche,4,-,2475,74136039,7264,276424176,2502,72991039,-
3/31/2017,GILGIT-BALTISTAN (GB),Ghizer,10,-,11312,356420397,21945,349738259,11369,359770397,-
3/31/2017,GILGIT-BALTISTAN (GB),Gilgit,20,-,19511,476102128,58325,3485167337,19855,463288489,-
3/31/2017,GILGIT-BALTISTAN (GB),Skardu,8,-,8954,291351289,16453,299018882,9612,280923141,-
3/31/2017,GILGIT-BALTISTAN (GB),Total,46,-,44262,1257440160,107596,4731887248,45350,1236453373,-
3/31/2017,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Bajaur Agency,6,-,6693,114546650,161,6693,114546650,-,-
3/31/2017,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Khyber Agency,5,-,3811,83041000,48,3811,83041000,-,-
3/31/2017,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Kurram Agency,3,-,3317,56896000,493,3317,56896000,-,-
3/31/2017,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Mohmand Agency,2,-,1630,32872000,1822,1630,32872000,-,-
3/31/2017,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),North Waziristan Agency,1,-,246,6124500,-,246,6124500,-,-
3/31/2017,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Orakzai Agency,2,-,1252,26629250,-,1252,26629250,-,-
3/31/2017,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),South Waziristan Agency,-,-,-,-,-,-,-,-,-
3/31/2017,FEDERALLY ADMINISTRATED TRIBAL AREAS (FATA),Total,19,-,16949,320109400,2524,16949,320109400,-,-
