Date,Province,District,Offices - Fixed,Offices - Mobile,Active Borrowers,Gross Loan Portfolio(PKR),Active Savers,Value of Savings(PKR),Policy Holders,Sum Insured(PKR),Potential Microfinance Market
9/30/2009,BALUCHISTAN,Awaran,-,-,-,-,-,-,-,-,26054
9/30/2009,BALUCHISTAN,Barkhan,1,-,850,5977242,-,-,850,5977242,31881
9/30/2009,BALUCHISTAN,Bolan,-,-,-,-,-,-,-,-,66423
9/30/2009,BALUCHISTAN,Chagai,-,-,-,-,-,-,-,-,54814
9/30/2009,BALUCHISTAN,Dera Bugti,-,-,-,-,-,-,-,-,43770
9/30/2009,BALUCHISTAN,Gwadar,5,-,1762,11389687,9665,2304981,1982,23026430,55537
9/30/2009,BALUCHISTAN,Jafarabad,1,-,3773,48213063,-,-,3773,48213063,121911
9/30/2009,BALUCHISTAN,Jhal Magsi,-,-,-,-,-,-,-,-,29887
9/30/2009,BALUCHISTAN,Kalat,-,-,-,-,-,-,-,-,53884
9/30/2009,BALUCHISTAN,Kech (Turbat),1,-,-,-,30323,6586821,-,-,92271
9/30/2009,BALUCHISTAN,Kharan,-,-,-,-,-,-,-,-,47948
9/30/2009,BALUCHISTAN,Khuzdar,-,-,-,-,-,-,-,-,104104
9/30/2009,BALUCHISTAN,Kohlu,-,-,-,-,-,-,-,-,26910
9/30/2009,BALUCHISTAN,Lasbela,5,-,1766,10314431,-,-,1766,10314431,84637
9/30/2009,BALUCHISTAN,Loralai,76879,-,-,-,-,-,-,-,-
9/30/2009,BALUCHISTAN,Mastung,41317,-,-,-,-,-,-,-,-
9/30/2009,BALUCHISTAN,Musakhel,27545,-,-,-,-,-,-,-,-
9/30/2009,BALUCHISTAN,Nasirabad,1,-,3027,34986976,-,-,3027,34986976,75783
9/30/2009,BALUCHISTAN,Nushki,-,-,-,-,-,-,-,-,-
9/30/2009,BALUCHISTAN,Panjgur,-,-,-,-,-,-,-,-,51074
9/30/2009,BALUCHISTAN,Pishin,1,-,-,-,-,-,-,-,100179
9/30/2009,BALUCHISTAN,Qila Abdullah,-,-,-,-,-,-,-,-,115112
9/30/2009,BALUCHISTAN,Qila Saifullah,-,-,-,-,-,-,-,-,44345
9/30/2009,BALUCHISTAN,Quetta,16,-,5630,34735360,2903,12526142,5630,34735360,174437
9/30/2009,BALUCHISTAN,Sherani,1,-,1897,12488763,-,-,1897,12488763,-
9/30/2009,BALUCHISTAN,Sibi,-,-,-,-,-,-,-,-,48944
9/30/2009,BALUCHISTAN,Washuk,-,-,-,-,-,-,-,-,-
9/30/2009,BALUCHISTAN,Zhob,1,-,508,2932132,-,-,508,2932132,53848
9/30/2009,BALUCHISTAN,Ziarat,-,-,-,-,-,-,-,-,7268
9/30/2009,BALUCHISTAN,Total,33,-,19213,161037654,42891,21417944,19433,172674397,1656762
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Abbottabad,3,-,6033,26505007,10508,3367298,5508,26808377,180672
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Bannu,1,-,436,383648,-,-,436,383648,167380
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Batgram,1,-,8,73242,-,-,8,80000,58257
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Buner (Daggar),-,-,-,-,-,-,-,-,133171
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Charsadda,3,-,4525,29081515,-,-,5154,17707310,271736
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Chitral,5,-,8709,173475345,18379,329607167,8709,173475345,84846
9/30/2009,KHYBER-PAKHTUNKHWA (KP),D.I. Khan,1,-,5433,64054140,30,885289,5433,64054140,221328
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Hangu,-,-,-,-,-,-,-,-,64648
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Haripur,3,-,4473,30927463,26409,5959303,4045,32068643,103830
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Karak,1,-,2609,16228306,-,-,2609,16228306,102174
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Kohat,2,-,3886,19909146,-,-,3591,18679259,114908
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Kohistan,1,-,-,-,-,-,-,-,73374
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Lakki Marwat,-,-,-,-,-,-,-,-,107505
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Lower Dir,-,-,-,-,-,-,-,-,176660
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Malakand,1,-,2623,26554868,-,-,2445,23237718,106429
9/30/2009,KHYBER-PAKHTUNKHWA (KP),Mansehra,3,-,4214,17853515,23597,14091813,3211,14792386,271288
